YEAR,WHEAT,RICE,MAIZE,JOWAR,BAJRA,SUGAR,POTATO,GNUT,BARLEY,TOBAC,GRAM,TUR,RAGI,SESAMUM,RMSEED,COTTON,OPULS,SOY,SUNFLWR,JUTE
1956,43.18725798,41.19008732,28.4849403,26.3565447,27.76927671,37.42610028,28.40258747,39.28580087,29.47124193,167.8694815,35.46294969,32.7348995,29.45037487,67.71081617,64.72188731,63.90739016,31.90053388,0,0,17.74116893
1957,42.97983855,43.56201611,30.04061554,24.08364239,26.28001107,39.11355349,28.62360899,41.7963856,26.90616212,175.3376464,34.19312486,31.54066391,28.85626377,70.51906952,64.75614086,70.32784253,35.02010115,0,0,17.14985143
1958,48.81322205,43.9260394,32.84417828,26.74411486,29.06317151,47.34128403,28.60896535,43.13419817,32.80984373,202.5355515,43.00418571,39.67241391,31.82589062,71.0771949,65.79956212,74.87158769,41.07203699,0,0,16.70668873
1959,46.86200029,44.0662943,30.49557822,27.66608916,28.5228441,49.53073178,29.56245139,46.29082181,27.78250769,222.7686098,38.70748322,36.13540818,30.53040727,69.9596128,66.18126939,74.05277636,39.22586297,0,0,15.25095607
1960,45.09063274,43.42587217,31.0004695,27.55770772,29.70860465,43.18606948,28.71112452,50.37739012,27.36788253,220.243069,39.54719282,36.64527309,31.43815564,83.89389071,76.46232759,89.69712138,39.5814154,0,0,31.09816308
1961,46.74200464,44.14721843,30.42645891,28.33301498,30.45851407,44.52261994,36.29664642,51.05351867,27.89939902,232.8124483,41.75587792,38.32396626,32.27278731,84.92230626,75.18935428,88.87910866,40.07143079,0,0,24.32575151
1962,47.42053214,49.54792504,31.55133892,29.11362491,30.81879489,57.27697932,31.61365405,51.97790628,27.41545887,227.0693094,42.44537825,39.6245408,32.68573363,81.34054426,73.45589494,93.84180178,42.4318113,0,0,16.9324178
1963,57.21055919,56.93796063,35.08980804,34.08385191,34.82983705,81.27879869,41.18599177,54.44618884,38.79232617,261.6197212,55.4940065,51.03569823,36.63971383,86.73901309,89.04473177,97.75277049,53.20363227,0,0,20.67121701
1964,70.00591295,68.73466897,50.36920026,44.80473494,46.79581327,73.79593907,50.89776469,71.56503254,45.8322507,299.6348019,73.88822621,68.51344086,50.50198904,114.5283617,108.2152871,106.3006602,65.36169239,0,0,26.47379355
1965,87.46012031,87.18540141,60.50872576,49.98731847,52.80715387,68.26692018,52.21321489,98.09714439,55.79360839,349.8730178,87.84362624,81.31559863,57.88749706,141.0367205,128.5238257,112.3883795,69.38767909,0,0,31.50880769
1966,107.4496949,101.3320707,67.3788326,55.67792005,58.08200409,108.6314245,65.76559238,117.5538507,77.77670095,360.2110893,109.2580235,99.89281479,63.75287287,165.9356376,156.245573,131.3250915,90.22602584,0,0,35.03715536
1967,99.22494715,96.92936117,72.19028642,55.20261234,59.24229709,183.8740512,60.26364502,96.01662995,57.40059629,361.3370707,104.4679244,95.09014875,66.21805344,155.8009569,136.3599887,127.9092629,91.08152991,0,0,29.66533032
1968,94.56201226,92.68675796,61.44302867,55.08442192,56.29763298,125.0078033,45.11201272,99.11692025,55.14483553,333.8525152,90.15006106,83.53751715,60.9385498,152.379571,141.7386086,133.1870907,82.05159644,0,0,43.88301056
1969,93.82356053,90.45280122,64.99904104,56.97750322,58.04202398,87.98578427,57.08396231,118.8412658,57.97631406,396.4490782,102.7162285,94.3945397,62.17502712,177.3781138,160.4641951,149.0412934,87.49130912,0,0,37.54521568
1970,88.83566321,90.11748944,58.14258003,55.17117952,50.87250791,95.54465213,58.29868305,123.9969318,50.61466657,406.7834149,89.04757288,81.9814651,55.45284414,190.3937447,159.2866275,191.6385431,85.94859793,0,0,43.3955083
1971,89.86772562,92.06784091,65.01101401,61.02009325,55.09196694,128.0706286,58.02053607,114.750942,59.32879869,450.0326701,99.07037171,91.43874611,60.40046433,194.6982221,159.2270276,168.7001307,98.52529611,0,0,39.29691704
1972,110.639314,112.7163383,79.05919631,75.02371109,78.89115916,164.0954089,65.09040004,156.7197942,83.11751678,473.0712422,138.8112611,130.3250997,83.64907388,239.474924,188.013786,173.8616257,131.7411325,0,0,42.97229864
1973,164.6281042,138.7934205,105.0882487,98.79595605,86.44969352,161.6479154,81.93566686,205.6493154,117.2130917,477.6764368,197.3732071,177.5675313,93.13368899,303.225593,291.193325,241.5422521,149.5721746,0,0,37.80607843
1974,157.7771493,174.6874036,147.1983078,126.674735,128.8946357,173.6397478,68.5180069,220.7725314,112.3917282,550.1571081,192.5103324,178.1212107,139.6348094,320.7659376,246.3139979,233.7074652,166.9637619,0,0,46.22963668
1975,120.822657,136.3767388,92.15169113,96.73852177,89.00015411,158.8617617,62.8000737,164.3174106,75.25323719,677.3473459,139.7396978,130.1879616,102.837381,271.8307982,180.4948275,222.6344877,125.1957942,0,0,37.37675095
1976,135.7319059,148.0957193,90.56745071,90.08418772,80.51755202,169.5447176,90.33423114,198.9500982,82.34504819,681.1727336,140.5260129,136.5974791,87.41204304,334.9441938,336.7591321,333.96253,154.1443052,0,0,43.79754042
1977,135.3903475,145.7853228,103.317964,89.76388376,91.39461593,134.3393661,90.51499562,212.5721036,85.87757392,531.3029185,188.688393,184.7174796,97.78380345,339.5847392,316.245637,308.6332273,201.0882174,0,0,53.92033265
1978,134.0606969,140.2952549,99.08645916,85.01020256,78.9591816,122.2545889,77.38587792,217.5508381,80.83499377,547.7968263,197.2216186,189.6563886,86.2883698,318.5795895,293.1618777,283.1623812,206.0461412,0,0,56.12554787
1979,149.2306031,142.689989,111.5933535,90.84100808,93.37342118,220.775527,105.5360591,259.065905,106.6986013,601.9942009,234.1519726,220.2045009,101.4727817,369.1165644,366.7224933,293.5013609,220.2045009,0,0,57.06641892
1980,176.943972,153.1992957,121.6042027,108.3436474,104.9467132,302.2387014,110.6835404,307.9006729,112.6064178,688.0900871,333.8706119,305.884811,113.8019527,450.1735707,419.3356963,372.7960947,305.884811,0,267.7417353,49.64150698
1981,185.6194143,168.8253631,136.5070345,117.3308786,114.4635028,243.5621533,103.0567738,335.4560809,109.6578617,723.0232149,287.2577489,265.2269094,123.1886038,472.0857582,401.8472219,397.0351479,265.2269094,0,284.7113626,49.15417613
1982,211.0001644,191.5709961,148.3912325,124.293654,117.8999934,222.3450757,118.8372198,370.8253587,129.3912389,737.8765499,273.9935311,259.9075004,128.5909905,507.3108162,411.2811059,384.0098817,259.9075004,70.68091585,213.2802874,65.00219755
1983,195.5605451,207.1240715,149.1208533,130.3226856,114.4739994,255.8692584,111.3219322,419.5565537,124.9787462,860.4704432,311.0884057,294.9702417,127.8401843,572.9056653,480.4698375,436.065503,294.9702417,112.8088836,338.4523379,89.67026032
1984,182.5849211,178.561991,142.6393232,134.0984024,116.869645,301.4179172,99.24455036,424.2406791,137.1275799,799.4577842,410.937939,341.1428506,133.574859,578.8783108,441.0975367,450.2944379,341.1428506,86.88638922,279.7924639,206.3816633
1985,203.5338679,193.4396115,167.7937131,145.9433728,141.94,335.1522265,167.5754433,428.2999303,147.3085723,866.7083025,414.3646315,343.662934,152.8388664,568.278001,459.8419144,391.7542012,343.662934,89.28511242,294.898872,89.10009806
1986,212.1449704,200.4228994,179.183432,149.3994083,142.4940828,333.035503,173.5314201,523.2519209,140.3846154,860.0118343,387.9674556,459.0207101,153.2899408,713.9201183,602.2840237,446.1686391,459.0207101,143.9703649,339.5588034,36.23334842
1987,215.1745562,228.521716,184.2928994,153.5857988,158.443787,365.795858,151.4863905,593.6912042,179.9230769,1137.100592,506.4497041,572.2751479,171.1449704,874.5502959,683.5147929,614.6952663,572.2751479,165.0734924,379.3119793,38.77546946