STATENAM,YEAR,avg(TNJAN),avg(TNFEB),avg(TNMAR),avg(TNAPR),avg(TNMAY),avg(TNJUN),avg(TNJUL),avg(TNAUG),avg(TNSEP),avg(TNOCT),avg(TNNOV),avg(TNDEC)
BIHAR,1956,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
HARYANA,1956,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
WEST_BENGAL,1956,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
MADHYA_PRADESH,1956,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
KARNATAKA,1956,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
UTTAR_PRADESH,1956,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
GUJARAT,1956,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
RAJASTHAN,1956,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
ORISSA,1956,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
ANDHRA_PRADESH,1956,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
PUNJAB,1956,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
MAHARASHTRA,1956,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
TAMIL_NADU,1956,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
MADHYA_PRADESH,1957,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
MAHARASHTRA,1957,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
WEST_BENGAL,1957,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
UTTAR_PRADESH,1957,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
HARYANA,1957,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
ORISSA,1957,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
TAMIL_NADU,1957,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
ANDHRA_PRADESH,1957,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
GUJARAT,1957,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
KARNATAKA,1957,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
RAJASTHAN,1957,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
BIHAR,1957,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
PUNJAB,1957,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
BIHAR,1958,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
HARYANA,1958,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
ANDHRA_PRADESH,1958,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
WEST_BENGAL,1958,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
GUJARAT,1958,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
TAMIL_NADU,1958,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
UTTAR_PRADESH,1958,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
KARNATAKA,1958,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
MADHYA_PRADESH,1958,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
RAJASTHAN,1958,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
PUNJAB,1958,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
ORISSA,1958,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
MAHARASHTRA,1958,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
RAJASTHAN,1959,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
HARYANA,1959,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
MADHYA_PRADESH,1959,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
BIHAR,1959,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
UTTAR_PRADESH,1959,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
WEST_BENGAL,1959,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
ANDHRA_PRADESH,1959,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
GUJARAT,1959,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
ORISSA,1959,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
TAMIL_NADU,1959,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
MAHARASHTRA,1959,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
PUNJAB,1959,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
KARNATAKA,1959,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
PUNJAB,1960,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
ORISSA,1960,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
UTTAR_PRADESH,1960,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
HARYANA,1960,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
RAJASTHAN,1960,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
ANDHRA_PRADESH,1960,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
WEST_BENGAL,1960,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
MADHYA_PRADESH,1960,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
GUJARAT,1960,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
TAMIL_NADU,1960,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
MAHARASHTRA,1960,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
KARNATAKA,1960,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
BIHAR,1960,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
HARYANA,1961,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
PUNJAB,1961,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
ANDHRA_PRADESH,1961,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
MADHYA_PRADESH,1961,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
RAJASTHAN,1961,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
WEST_BENGAL,1961,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
TAMIL_NADU,1961,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
GUJARAT,1961,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
UTTAR_PRADESH,1961,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
ORISSA,1961,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
BIHAR,1961,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
MAHARASHTRA,1961,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
KARNATAKA,1961,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
BIHAR,1962,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
TAMIL_NADU,1962,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
MADHYA_PRADESH,1962,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
ORISSA,1962,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
WEST_BENGAL,1962,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
UTTAR_PRADESH,1962,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
ANDHRA_PRADESH,1962,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
KARNATAKA,1962,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
HARYANA,1962,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
MAHARASHTRA,1962,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
GUJARAT,1962,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
PUNJAB,1962,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
RAJASTHAN,1962,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
MADHYA_PRADESH,1963,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
WEST_BENGAL,1963,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
PUNJAB,1963,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
RAJASTHAN,1963,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
ANDHRA_PRADESH,1963,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
UTTAR_PRADESH,1963,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
KARNATAKA,1963,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
ORISSA,1963,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
TAMIL_NADU,1963,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
HARYANA,1963,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
MAHARASHTRA,1963,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
GUJARAT,1963,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
BIHAR,1963,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
ANDHRA_PRADESH,1964,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
MAHARASHTRA,1964,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
ORISSA,1964,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
GUJARAT,1964,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
PUNJAB,1964,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
HARYANA,1964,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
WEST_BENGAL,1964,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
BIHAR,1964,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
UTTAR_PRADESH,1964,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
KARNATAKA,1964,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
TAMIL_NADU,1964,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
RAJASTHAN,1964,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
MADHYA_PRADESH,1964,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
KARNATAKA,1965,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
MAHARASHTRA,1965,21.76797028,23.93281292,27.703735,30.95049284,32.77576152,29.8110158,26.48715484,26.04983352,26.22833924,26.04420748,23.27987056,21.45995224
UTTAR_PRADESH,1965,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
HARYANA,1965,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
ORISSA,1965,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
MADHYA_PRADESH,1965,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
RAJASTHAN,1965,15.82527379,18.80661715,24.18163215,29.61660269,33.75559508,33.34335792,29.88537273,28.34880265,28.2873535,26.31482042,21.11451462,17.18449642
ANDHRA_PRADESH,1965,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
WEST_BENGAL,1965,17.86430333,19.95865747,24.6170332,28.82822967,29.79256067,29.52165133,28.00254907,27.76581973,27.63353367,26.2946914,21.43538553,18.2171378
BIHAR,1965,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
PUNJAB,1965,10.941124,13.4485632,18.2317222,23.7783473,28.6388447,30.1671411,28.3534069,27.2953058,26.344397,22.1500143,16.6264667,12.5311771
TAMIL_NADU,1965,24.118476,25.59755617,27.64691717,28.97031917,29.290194,27.92262017,27.00436608,27.08587517,27.11162925,26.44317825,25.088028,24.02307967
GUJARAT,1965,19.47519122,21.9754615,26.38322133,30.1863715,32.15798,31.08362122,28.10427433,27.1250535,27.37111589,27.33743011,23.84863339,20.71847539
BIHAR,1966,17.02498912,19.15539376,24.34393394,29.18383341,31.51381359,30.54397012,28.48240894,27.63003188,27.39390506,26.01512935,20.64913006,17.35614541
ANDHRA_PRADESH,1966,22.83929705,25.15640758,28.32672532,31.10713984,32.88556016,30.55691947,27.74760795,27.60729526,27.53441511,26.68137305,23.97145242,22.22483184
KARNATAKA,1966,23.70623763,25.68060163,28.25255368,30.01238742,30.18202758,27.40071226,25.77744289,25.72340258,25.79651095,25.866095,24.36894858,23.18388942
UTTAR_PRADESH,1966,14.83892311,17.31778199,22.78734727,28.0143229,32.0828324,31.74589658,28.18364733,27.35931702,27.06117923,24.43371967,19.44445229,15.71557069
HARYANA,1966,13.00574067,15.58893583,20.62066383,26.21380333,30.89775167,31.5251305,28.6043635,27.41335067,26.90416383,23.64196467,18.36349383,14.40779833
ORISSA,1966,20.476935,23.00433469,27.29907238,30.83552931,32.57356131,30.908136,28.00372177,27.92687246,28.05750523,26.66547715,22.88446038,20.22411554
MADHYA_PRADESH,1966,18.10934167,20.62196284,25.6582004,30.48864763,34.20188098,32.25146921,27.74165488,26.8805104,27.0538163,25.4701416,21.12102005,18.36015977
